temperature,vibration,voltage,current,pressure,rpm,load,power,runtime_hours,maintenance_gap_hours,efficiency,thermal_fluctuation,vibration_instability,machine_type,failure_type,state,is_anomaly,degradation_progress,timestamp
50.82,1.896,402.1,38.55,5.86,3540.0,50.9,15.55,5949.0,72.0,88.4,1.482,0.021,LATHE,none,healthy,0,0.0,2026-04-08 21:18:06
55.12,2.344,402.3,46.34,6.5,3518.0,56.1,18.63,5793.0,404.0,89.8,1.747,0.339,LATHE,none,healthy,0,0.0,2026-04-08 21:20:31
54.17,1.809,402.5,41.89,5.83,3519.0,51.9,17.02,4749.0,379.0,91.8,0.466,0.405,LATHE,none,healthy,0,0.0,2026-04-08 21:22:57
56.55,1.844,396.5,45.93,6.27,3626.0,53.4,18.19,3723.0,336.0,87.9,0.418,0.017,LATHE,none,healthy,0,0.0,2026-04-08 21:24:41
50.99,2.143,399.6,50.0,6.37,3504.0,54.9,20.96,4669.0,345.0,92.5,1.989,0.21,LATHE,none,healthy,0,0.0,2026-04-08 21:26:53
55.19,1.636,401.9,40.3,5.75,3471.0,46.3,16.14,2715.0,263.0,95.4,0.095,0.22,LATHE,none,healthy,0,0.0,2026-04-08 21:28:06
51.83,2.346,400.0,47.29,6.3,3600.0,57.1,18.99,7666.0,23.0,90.6,0.815,0.058,LATHE,none,healthy,0,0.0,2026-04-08 21:30:09
51.84,2.157,405.7,46.2,6.13,3451.0,48.1,18.61,5863.0,479.0,92.7,0.476,0.191,LATHE,none,healthy,0,0.0,2026-04-08 21:32:14
57.87,1.925,395.6,44.31,6.34,3498.0,49.5,17.61,4669.0,483.0,91.9,1.804,0.086,LATHE,none,healthy,0,0.0,2026-04-08 21:34:06
54.32,2.042,402.3,45.15,6.02,3490.0,55.0,18.32,6055.0,159.0,92.0,0.111,0.056,LATHE,none,healthy,0,0.0,2026-04-08 21:36:33
52.93,2.097,400.3,40.87,6.33,3465.0,49.3,16.36,4836.0,301.0,88.9,0.173,0.118,LATHE,none,healthy,0,0.0,2026-04-08 21:38:39
54.16,1.889,401.2,49.6,6.26,3542.0,53.0,19.78,2472.0,92.0,93.4,0.878,0.536,LATHE,none,healthy,0,0.0,2026-04-08 21:40:51
54.64,2.091,399.9,50.0,6.23,3681.0,55.1,20.52,5667.0,71.0,89.4,1.184,0.194,LATHE,none,healthy,0,0.0,2026-04-08 21:42:21
54.92,1.963,397.0,44.23,5.68,3489.0,49.5,17.35,990.0,381.0,90.9,0.636,0.184,LATHE,none,healthy,0,0.0,2026-04-08 21:44:36
56.57,1.86,398.0,42.36,6.16,3407.0,47.0,16.83,4646.0,15.0,88.5,1.323,0.269,LATHE,none,healthy,0,0.0,2026-04-08 21:46:23
49.68,2.068,402.1,43.63,6.05,3505.0,47.1,17.49,5316.0,234.0,95.3,3.562,0.166,LATHE,none,healthy,0,0.0,2026-04-08 21:48:56
54.58,2.059,403.1,49.35,6.2,3502.0,55.3,19.7,2147.0,32.0,92.2,0.934,0.35,LATHE,none,healthy,0,0.0,2026-04-08 21:50:24
52.92,1.863,396.3,46.82,6.21,3476.0,52.9,18.54,1088.0,356.0,89.6,0.672,0.123,LATHE,none,healthy,0,0.0,2026-04-08 21:52:56
53.06,2.132,405.5,45.8,6.03,3469.0,54.5,18.59,7554.0,387.0,92.6,0.461,0.749,LATHE,none,healthy,0,0.0,2026-04-08 21:54:00
55.66,1.745,401.7,41.13,6.28,3516.0,47.5,16.67,2806.0,310.0,94.0,1.644,0.051,LATHE,none,healthy,0,0.0,2026-04-08 21:56:56
53.49,1.818,405.8,34.97,5.92,3476.0,42.2,14.2,6880.0,178.0,92.3,5.213,0.102,LATHE,none,healthy,0,0.0,2026-04-08 21:58:05
53.68,2.048,397.8,45.46,6.3,3406.0,49.7,18.11,6999.0,84.0,94.5,1.937,0.209,LATHE,none,healthy,0,0.0,2026-04-08 22:00:43
54.5,2.019,402.8,50.0,5.94,3602.0,59.4,20.63,6741.0,126.0,91.9,1.973,0.601,LATHE,none,healthy,0,0.0,2026-04-08 22:02:51
53.85,2.238,396.7,48.91,5.82,3563.0,55.3,19.39,4414.0,53.0,93.7,0.334,0.197,LATHE,none,healthy,0,0.0,2026-04-08 22:04:32
54.52,1.958,405.7,42.69,6.29,3419.0,48.1,17.26,4519.0,242.0,96.0,1.46,0.349,LATHE,none,healthy,0,0.0,2026-04-08 22:06:53
54.98,1.999,402.4,44.78,6.52,3463.0,53.5,18.03,2646.0,288.0,92.7,0.035,0.383,LATHE,none,healthy,0,0.0,2026-04-08 22:08:14
57.93,2.017,401.9,35.78,5.89,3454.0,42.4,14.52,5269.0,441.0,89.1,0.948,0.338,LATHE,none,healthy,0,0.0,2026-04-08 22:10:36
51.61,1.936,395.9,49.11,6.14,3559.0,53.5,19.55,6617.0,413.0,91.5,0.442,0.051,LATHE,none,healthy,0,0.0,2026-04-08 22:12:32
56.02,1.705,402.0,40.46,5.25,3477.0,43.7,16.38,5069.0,376.0,92.4,1.323,0.839,LATHE,none,healthy,0,0.0,2026-04-08 22:14:49
53.25,2.071,399.9,50.0,5.68,3446.0,53.6,20.57,2528.0,94.0,91.8,2.861,0.407,LATHE,none,healthy,0,0.0,2026-04-08 22:16:06
53.05,1.852,398.1,43.79,6.04,3574.0,50.6,17.51,5841.0,352.0,90.2,1.077,0.158,LATHE,none,healthy,0,0.0,2026-04-08 22:18:13
54.48,1.814,399.9,41.03,6.44,3529.0,48.0,16.28,3723.0,125.0,92.6,0.015,0.187,LATHE,none,healthy,0,0.0,2026-04-08 22:20:47
53.27,1.943,405.9,38.26,6.02,3524.0,48.4,15.63,4549.0,267.0,94.6,0.486,0.268,LATHE,none,healthy,0,0.0,2026-04-08 22:22:02
49.07,2.059,397.6,44.07,6.11,3560.0,49.7,17.56,5017.0,204.0,91.4,1.494,0.546,LATHE,none,healthy,0,0.0,2026-04-08 22:24:07
53.11,2.052,400.9,44.04,5.24,3450.0,49.7,17.51,5400.0,421.0,88.5,1.401,0.268,LATHE,none,healthy,0,0.0,2026-04-08 22:26:36
52.47,1.959,402.1,40.45,5.52,3435.0,54.4,16.23,6934.0,111.0,94.1,0.105,0.1,LATHE,none,healthy,0,0.0,2026-04-08 22:28:12
52.75,2.037,399.5,44.31,5.86,3648.0,52.2,17.72,4358.0,345.0,91.9,2.393,0.131,LATHE,none,healthy,0,0.0,2026-04-08 22:30:20
54.56,1.987,400.1,44.05,5.94,3559.0,50.4,17.72,3194.0,484.0,96.4,1.31,0.506,LATHE,none,healthy,0,0.0,2026-04-08 22:32:51
56.92,1.97,400.3,42.13,6.16,3422.0,44.9,17.03,6107.0,279.0,88.2,2.533,0.088,LATHE,none,healthy,0,0.0,2026-04-08 22:34:22
53.03,2.083,401.4,41.31,5.98,3524.0,45.7,16.68,4379.0,320.0,93.5,2.051,0.11,LATHE,none,healthy,0,0.0,2026-04-08 22:36:35
56.27,1.906,397.4,47.61,5.89,3492.0,47.5,18.91,2744.0,462.0,95.8,1.323,0.16,LATHE,none,healthy,0,0.0,2026-04-08 22:38:55
53.5,2.079,396.8,49.72,6.13,3517.0,54.3,19.76,3020.0,53.0,90.3,3.813,0.508,LATHE,none,healthy,0,0.0,2026-04-08 22:40:21
54.06,1.977,401.4,49.35,5.84,3519.0,50.1,19.83,6798.0,479.0,90.7,1.065,0.391,LATHE,none,healthy,0,0.0,2026-04-08 22:42:20
55.87,1.727,403.8,39.5,5.74,3495.0,45.7,15.91,474.0,382.0,90.2,0.353,0.006,LATHE,none,healthy,0,0.0,2026-04-08 22:44:37
53.65,2.079,399.9,36.25,5.79,3431.0,43.4,14.5,4890.0,364.0,92.3,1.564,0.084,LATHE,none,healthy,0,0.0,2026-04-08 22:46:16
54.13,1.874,397.6,44.63,5.39,3495.0,48.2,17.92,6666.0,445.0,93.1,0.219,0.045,LATHE,none,healthy,0,0.0,2026-04-08 22:48:03
51.92,2.185,400.1,43.4,5.93,3444.0,49.2,17.25,4729.0,170.0,92.8,0.043,0.141,LATHE,none,healthy,0,0.0,2026-04-08 22:50:45
52.2,1.879,405.0,38.44,5.28,3313.0,43.4,15.66,7738.0,33.0,89.9,0.882,0.453,LATHE,none,healthy,0,0.0,2026-04-08 22:52:13
53.6,2.147,399.6,45.66,6.1,3554.0,48.5,18.17,4129.0,179.0,91.0,1.052,0.166,LATHE,none,healthy,0,0.0,2026-04-08 22:54:03
52.9,1.902,397.5,46.11,6.14,3406.0,46.4,18.31,465.0,384.0,93.5,1.167,0.109,LATHE,none,healthy,0,0.0,2026-04-08 22:56:44
52.58,2.146,402.5,44.85,6.37,3489.0,53.0,18.37,2452.0,63.0,91.2,1.893,0.05,LATHE,none,healthy,0,0.0,2026-04-08 22:58:21
56.73,1.952,400.5,49.74,6.38,3603.0,55.6,19.88,6340.0,471.0,93.4,0.685,0.186,LATHE,none,healthy,0,0.0,2026-04-08 23:00:55
51.66,1.976,403.3,47.09,5.88,3644.0,54.9,18.93,6637.0,415.0,90.4,0.564,0.475,LATHE,none,healthy,0,0.0,2026-04-08 23:02:59
55.28,2.093,401.3,48.01,6.02,3675.0,55.0,19.29,5212.0,112.0,92.2,1.421,0.292,LATHE,none,healthy,0,0.0,2026-04-08 23:04:04
55.47,2.1,398.2,45.14,6.07,3478.0,47.3,18.08,1040.0,323.0,92.5,2.257,0.312,LATHE,none,healthy,0,0.0,2026-04-08 23:06:03
51.6,1.861,406.2,47.43,5.79,3515.0,52.7,19.34,3190.0,48.0,92.3,1.069,0.238,LATHE,none,healthy,0,0.0,2026-04-08 23:08:35
52.84,1.974,400.3,46.59,5.56,3518.0,49.2,18.65,6170.0,134.0,96.5,1.186,0.332,LATHE,none,healthy,0,0.0,2026-04-08 23:10:49
56.38,2.198,404.2,46.61,5.87,3560.0,54.2,18.74,6857.0,228.0,94.9,0.315,0.61,LATHE,none,healthy,0,0.0,2026-04-08 23:12:52
54.27,2.371,396.6,45.13,6.0,3475.0,52.6,17.91,1933.0,261.0,94.1,0.965,0.649,LATHE,none,healthy,0,0.0,2026-04-08 23:14:32
52.23,2.087,402.0,42.41,6.02,3427.0,48.6,17.04,4633.0,299.0,89.4,2.333,0.207,LATHE,none,healthy,0,0.0,2026-04-08 23:16:57
57.73,2.068,399.1,35.94,5.91,3399.0,41.9,14.29,4499.0,112.0,92.2,0.869,0.137,LATHE,none,healthy,0,0.0,2026-04-08 23:18:46
54.76,1.798,400.2,48.46,6.1,3566.0,53.6,19.5,706.0,88.0,89.0,0.875,0.33,LATHE,none,healthy,0,0.0,2026-04-08 23:20:42
52.97,2.052,396.2,44.09,6.01,3598.0,55.0,17.49,6065.0,79.0,94.5,1.032,0.372,LATHE,none,healthy,0,0.0,2026-04-08 23:22:50
53.07,2.162,395.6,46.27,6.06,3576.0,51.7,18.27,505.0,427.0,93.9,0.366,0.315,LATHE,none,healthy,0,0.0,2026-04-08 23:24:58
54.24,2.06,400.9,42.87,6.31,3463.0,48.4,17.3,6780.0,283.0,94.0,1.091,0.132,LATHE,none,healthy,0,0.0,2026-04-08 23:26:46
54.46,1.978,400.0,37.55,6.68,3493.0,50.6,14.86,731.0,83.0,92.1,1.355,0.717,LATHE,none,healthy,0,0.0,2026-04-08 23:28:26
56.8,2.161,399.1,50.0,6.42,3574.0,56.8,21.93,7129.0,448.0,91.8,1.297,0.165,LATHE,none,healthy,0,0.0,2026-04-08 23:30:52
56.89,2.021,401.0,42.95,6.14,3404.0,47.3,17.32,1174.0,93.0,88.5,0.011,0.036,LATHE,none,healthy,0,0.0,2026-04-08 23:32:47
55.06,2.102,402.2,47.57,6.31,3511.0,54.3,19.31,2835.0,145.0,89.9,3.151,0.235,LATHE,none,healthy,0,0.0,2026-04-08 23:34:21
55.18,1.713,399.2,35.9,6.08,3337.0,40.7,14.24,871.0,228.0,91.8,1.74,0.099,LATHE,none,healthy,0,0.0,2026-04-08 23:36:13
54.54,1.915,398.2,36.51,5.32,3490.0,45.8,14.61,2503.0,211.0,93.6,0.484,0.094,LATHE,none,healthy,0,0.0,2026-04-08 23:38:28
54.83,1.918,400.6,39.94,5.67,3459.0,45.7,16.04,1215.0,120.0,93.6,2.513,0.208,LATHE,none,healthy,0,0.0,2026-04-08 23:40:37
55.13,1.851,399.8,50.0,6.16,3540.0,60.7,21.17,6508.0,359.0,91.6,1.472,0.266,LATHE,none,healthy,0,0.0,2026-04-08 23:42:31
56.86,1.957,397.5,42.47,5.09,3496.0,48.5,16.77,5060.0,201.0,87.8,1.271,0.167,LATHE,none,healthy,0,0.0,2026-04-08 23:44:21
52.61,2.137,399.1,44.02,6.79,3543.0,53.4,17.7,1801.0,256.0,91.0,0.869,0.327,LATHE,none,healthy,0,0.0,2026-04-08 23:46:05
57.79,2.373,396.9,46.68,5.98,3483.0,51.7,18.76,3583.0,163.0,89.2,0.363,0.047,LATHE,none,healthy,0,0.0,2026-04-08 23:48:17
56.24,1.798,400.4,44.03,6.05,3492.0,51.8,17.65,1380.0,32.0,89.5,0.402,0.417,LATHE,none,healthy,0,0.0,2026-04-08 23:50:10
53.92,2.055,395.5,47.74,5.88,3374.0,51.2,18.8,6627.0,244.0,92.4,0.021,0.104,LATHE,none,healthy,0,0.0,2026-04-08 23:52:54
56.36,1.788,402.9,44.1,6.37,3391.0,49.3,17.79,5098.0,249.0,91.2,1.561,0.222,LATHE,none,healthy,0,0.0,2026-04-08 23:54:03
52.17,2.001,402.6,46.95,6.37,3485.0,52.8,18.91,964.0,102.0,92.5,0.218,0.078,LATHE,none,healthy,0,0.0,2026-04-08 23:56:39
49.1,2.024,397.6,36.82,6.31,3489.0,46.6,14.66,5552.0,242.0,90.7,0.582,0.272,LATHE,none,healthy,0,0.0,2026-04-08 23:58:16
55.7,1.988,403.5,39.75,6.06,3403.0,44.6,16.12,2731.0,187.0,92.5,0.667,0.534,LATHE,none,healthy,0,0.0,2026-04-09 00:00:48
51.03,1.902,398.6,39.61,5.69,3455.0,42.3,15.82,1966.0,196.0,91.2,2.358,0.121,LATHE,none,healthy,0,0.0,2026-04-09 00:02:46
49.46,1.812,403.2,37.6,5.75,3378.0,43.8,15.13,3809.0,260.0,88.5,2.321,0.318,LATHE,none,healthy,0,0.0,2026-04-09 00:04:57
54.77,2.142,401.9,46.5,5.74,3519.0,48.5,18.79,5205.0,439.0,92.5,1.554,0.074,LATHE,none,healthy,0,0.0,2026-04-09 00:06:43
53.77,2.1,398.7,39.46,5.64,3585.0,48.3,15.37,2773.0,145.0,90.5,2.027,0.031,LATHE,none,healthy,0,0.0,2026-04-09 00:08:31
52.48,1.611,399.3,35.84,5.75,3454.0,42.9,14.35,683.0,17.0,90.6,1.996,0.28,LATHE,none,healthy,0,0.0,2026-04-09 00:10:34
55.65,2.239,400.3,44.47,6.23,3533.0,51.0,17.63,5508.0,157.0,92.5,0.419,0.054,LATHE,none,healthy,0,0.0,2026-04-09 00:12:34
52.43,2.065,394.3,43.92,6.54,3474.0,47.6,17.19,6984.0,477.0,90.2,2.22,0.068,LATHE,none,healthy,0,0.0,2026-04-09 00:14:52
51.73,1.908,402.8,36.03,5.82,3470.0,45.3,14.38,1461.0,27.0,90.5,0.697,0.011,LATHE,none,healthy,0,0.0,2026-04-09 00:16:51
55.41,2.002,399.6,41.25,5.94,3435.0,49.3,16.59,3669.0,434.0,93.7,0.131,0.552,LATHE,none,healthy,0,0.0,2026-04-09 00:18:05
52.04,2.101,399.2,41.31,6.06,3445.0,48.6,16.42,1652.0,426.0,92.7,0.073,0.103,LATHE,none,healthy,0,0.0,2026-04-09 00:20:06
53.5,2.041,398.0,50.0,6.44,3648.0,55.9,21.11,7436.0,370.0,91.3,0.732,0.322,LATHE,none,healthy,0,0.0,2026-04-09 00:22:39
55.66,2.242,398.5,50.0,5.99,3556.0,56.4,21.32,4954.0,129.0,92.1,0.868,0.132,LATHE,none,healthy,0,0.0,2026-04-09 00:24:22
54.45,1.99,399.6,50.0,6.37,3645.0,57.2,21.15,819.0,421.0,94.2,1.225,0.416,LATHE,none,healthy,0,0.0,2026-04-09 00:26:07
53.47,2.023,404.0,41.66,5.8,3427.0,46.7,16.89,3799.0,457.0,91.9,0.986,0.156,LATHE,none,healthy,0,0.0,2026-04-09 00:28:07
52.22,2.218,399.2,45.83,5.67,3479.0,51.3,18.24,1272.0,488.0,94.4,1.727,0.09,LATHE,none,healthy,0,0.0,2026-04-09 00:30:57
50.98,1.919,398.2,39.3,6.24,3607.0,52.4,15.82,3233.0,27.0,91.8,2.534,0.157,LATHE,none,healthy,0,0.0,2026-04-09 00:32:43
54.48,2.035,398.1,48.26,5.95,3533.0,57.5,19.38,2814.0,190.0,90.5,0.893,0.259,LATHE,none,healthy,0,0.0,2026-04-09 00:34:32
54.72,1.922,400.2,39.28,6.06,3513.0,45.1,15.79,825.0,334.0,91.1,2.054,0.175,LATHE,none,healthy,0,0.0,2026-04-09 00:36:26
58.1,1.817,395.9,46.43,6.26,3544.0,53.8,18.18,1058.0,330.0,89.9,2.88,0.104,LATHE,none,healthy,0,0.0,2026-04-09 00:38:21
55.81,1.944,397.7,41.61,5.64,3436.0,47.6,16.65,3591.0,462.0,89.8,0.839,0.346,LATHE,none,healthy,0,0.0,2026-04-09 00:40:03
53.78,2.049,400.9,43.32,6.23,3529.0,48.1,17.4,4417.0,244.0,89.7,2.914,0.357,LATHE,none,healthy,0,0.0,2026-04-09 00:42:43
56.67,2.086,406.5,46.82,6.43,3585.0,54.4,19.1,2258.0,198.0,91.0,1.298,0.172,LATHE,none,healthy,0,0.0,2026-04-09 00:44:40
56.74,2.181,397.8,44.71,6.02,3495.0,52.1,17.76,3580.0,105.0,89.3,0.591,0.203,LATHE,none,healthy,0,0.0,2026-04-09 00:46:54
53.92,1.866,397.6,39.92,6.27,3519.0,47.9,15.99,6485.0,71.0,91.2,2.37,0.11,LATHE,none,healthy,0,0.0,2026-04-09 00:48:43
51.79,1.937,403.7,42.98,5.99,3535.0,48.6,17.36,4910.0,459.0,96.6,1.829,0.227,LATHE,none,healthy,0,0.0,2026-04-09 00:50:54
58.25,2.057,400.5,46.92,6.27,3485.0,54.0,18.92,5002.0,464.0,93.6,2.336,0.288,LATHE,none,healthy,0,0.0,2026-04-09 00:52:07
50.3,1.849,405.2,40.85,5.74,3403.0,46.8,16.41,811.0,425.0,91.6,2.044,0.419,LATHE,none,healthy,0,0.0,2026-04-09 00:54:24
57.86,2.14,400.6,45.26,6.11,3477.0,49.2,18.22,4649.0,186.0,95.1,0.841,0.111,LATHE,none,healthy,0,0.0,2026-04-09 00:56:42
56.77,2.075,400.1,49.72,6.49,3576.0,52.1,19.69,7083.0,426.0,91.8,4.067,0.038,LATHE,none,healthy,0,0.0,2026-04-09 00:58:24
53.39,1.907,401.0,36.95,5.6,3465.0,41.8,14.98,2825.0,118.0,92.4,1.103,0.153,LATHE,none,healthy,0,0.0,2026-04-09 01:00:38
54.17,1.993,397.4,48.88,6.17,3545.0,53.2,19.34,4423.0,211.0,95.4,0.582,0.145,LATHE,none,healthy,0,0.0,2026-04-09 01:02:34
53.3,2.174,396.9,50.0,5.94,3537.0,56.0,20.15,2032.0,420.0,92.0,0.654,0.364,LATHE,none,healthy,0,0.0,2026-04-09 01:04:59
54.43,2.267,400.7,41.79,6.13,3512.0,50.1,16.6,4733.0,92.0,91.0,1.14,0.027,LATHE,none,healthy,0,0.0,2026-04-09 01:06:36
55.2,1.906,396.8,37.73,5.6,3424.0,44.1,14.96,2264.0,194.0,93.0,1.0,0.267,LATHE,none,healthy,0,0.0,2026-04-09 01:08:38
58.27,2.111,397.4,50.0,6.18,3565.0,52.2,20.47,7254.0,489.0,90.7,0.211,0.139,LATHE,none,healthy,0,0.0,2026-04-09 01:10:48
55.09,1.864,398.3,38.2,6.29,3494.0,49.8,15.36,540.0,403.0,93.1,2.783,0.036,LATHE,none,healthy,0,0.0,2026-04-09 01:12:17
57.88,1.978,399.3,45.01,5.84,3472.0,50.3,17.77,2285.0,43.0,92.5,0.017,0.329,LATHE,none,healthy,0,0.0,2026-04-09 01:14:36
56.79,2.128,397.2,50.0,5.83,3596.0,56.9,20.73,6212.0,332.0,94.4,1.593,0.092,LATHE,none,healthy,0,0.0,2026-04-09 01:16:55
50.16,2.166,401.0,40.56,6.09,3460.0,49.0,16.46,2787.0,486.0,93.5,1.189,0.125,LATHE,none,healthy,0,0.0,2026-04-09 01:18:33
52.46,1.994,397.5,42.38,5.19,3482.0,46.1,16.96,2529.0,233.0,88.4,3.188,0.112,LATHE,none,healthy,0,0.0,2026-04-09 01:20:35
51.46,2.249,399.1,39.52,6.11,3514.0,48.9,16.05,7484.0,440.0,93.3,1.551,0.17,LATHE,none,healthy,0,0.0,2026-04-09 01:22:11
55.19,2.121,400.9,45.0,5.49,3562.0,51.6,18.1,5317.0,291.0,91.2,1.54,0.454,LATHE,none,healthy,0,0.0,2026-04-09 01:24:24
49.47,1.897,405.0,41.49,6.05,3459.0,45.4,16.78,6979.0,224.0,91.1,0.024,0.276,LATHE,none,healthy,0,0.0,2026-04-09 01:26:42
54.42,1.858,401.0,43.16,5.68,3529.0,49.4,17.5,2832.0,366.0,93.6,5.649,0.203,LATHE,none,healthy,0,0.0,2026-04-09 01:28:40
56.57,2.102,403.2,43.42,5.91,3518.0,50.6,17.46,7252.0,438.0,92.2,1.61,0.017,LATHE,none,healthy,0,0.0,2026-04-09 01:30:07
53.97,1.796,395.3,36.66,5.5,3341.0,40.4,14.4,2270.0,423.0,90.2,1.571,0.186,LATHE,none,healthy,0,0.0,2026-04-09 01:32:22
52.89,2.237,402.8,48.42,6.18,3578.0,55.3,19.49,3740.0,325.0,92.0,0.119,0.054,LATHE,none,healthy,0,0.0,2026-04-09 01:34:50
54.03,2.091,398.7,50.0,6.23,3710.0,61.5,21.8,2967.0,306.0,92.6,2.325,0.725,LATHE,none,healthy,0,0.0,2026-04-09 01:36:39
55.01,2.03,399.3,39.02,5.57,3533.0,51.1,15.42,4210.0,369.0,95.1,0.426,0.356,LATHE,none,healthy,0,0.0,2026-04-09 01:38:57
52.53,1.981,399.1,39.3,5.8,3526.0,42.5,15.55,3402.0,320.0,90.9,1.511,0.116,LATHE,none,healthy,0,0.0,2026-04-09 01:40:00
56.74,1.775,400.5,46.59,5.87,3613.0,56.6,18.87,3318.0,198.0,93.7,1.536,0.475,LATHE,none,healthy,0,0.0,2026-04-09 01:42:00
53.43,2.054,400.0,39.86,5.7,3495.0,49.8,16.03,5159.0,184.0,94.0,0.614,0.008,LATHE,none,healthy,0,0.0,2026-04-09 01:44:25
51.3,2.17,403.9,39.51,6.23,3477.0,47.1,16.14,1246.0,120.0,89.0,0.399,0.301,LATHE,none,healthy,0,0.0,2026-04-09 01:46:35
51.08,2.019,409.4,39.83,5.89,3480.0,47.4,16.29,3126.0,88.0,92.1,1.469,0.204,LATHE,none,healthy,0,0.0,2026-04-09 01:48:26
55.23,2.201,399.3,44.74,6.14,3534.0,53.1,17.72,2253.0,100.0,89.4,0.172,0.27,LATHE,none,healthy,0,0.0,2026-04-09 01:50:16
52.07,2.043,399.3,42.75,6.34,3431.0,47.0,16.82,1971.0,120.0,89.3,1.139,0.077,LATHE,none,healthy,0,0.0,2026-04-09 01:52:21
53.98,2.116,399.7,47.16,6.27,3448.0,47.3,18.47,181.0,162.0,91.1,0.111,0.02,LATHE,none,healthy,0,0.0,2026-04-09 01:54:11
53.41,1.885,400.5,41.53,6.38,3474.0,49.3,16.77,540.0,150.0,88.7,1.891,0.313,LATHE,none,healthy,0,0.0,2026-04-09 01:56:14
55.62,1.877,398.2,50.0,6.53,3685.0,64.5,22.33,418.0,46.0,92.5,0.608,0.013,LATHE,none,healthy,0,0.0,2026-04-09 01:58:07
50.88,2.263,400.1,48.21,6.3,3590.0,53.8,19.05,3830.0,376.0,94.0,0.424,0.238,LATHE,none,healthy,0,0.0,2026-04-09 02:00:07
53.19,1.934,396.2,40.84,5.74,3487.0,51.7,16.05,6993.0,261.0,89.8,1.272,0.195,LATHE,none,healthy,0,0.0,2026-04-09 02:02:57
53.31,2.028,399.5,44.54,6.2,3552.0,51.8,17.78,4963.0,466.0,88.9,0.653,0.627,LATHE,none,healthy,0,0.0,2026-04-09 02:04:45
52.57,2.218,405.5,43.77,5.41,3485.0,51.8,17.59,1567.0,489.0,94.2,1.105,0.011,LATHE,none,healthy,0,0.0,2026-04-09 02:06:39
55.03,2.155,404.4,45.03,6.52,3597.0,54.8,18.3,3177.0,392.0,92.1,2.123,0.16,LATHE,none,healthy,0,0.0,2026-04-09 02:08:03
54.54,2.075,398.5,41.25,5.83,3399.0,48.8,16.56,5552.0,35.0,88.8,0.109,0.138,LATHE,none,healthy,0,0.0,2026-04-09 02:10:17
51.25,1.827,400.8,41.24,5.36,3564.0,47.9,16.48,5160.0,116.0,92.8,0.101,0.2,LATHE,none,healthy,0,0.0,2026-04-09 02:12:58
50.86,1.809,402.2,39.36,5.21,3503.0,46.1,15.7,7876.0,24.0,94.1,0.382,0.291,LATHE,none,healthy,0,0.0,2026-04-09 02:14:59
55.09,1.793,399.5,42.38,6.52,3437.0,46.0,16.63,1911.0,80.0,92.5,0.426,0.519,LATHE,none,healthy,0,0.0,2026-04-09 02:16:47
54.65,1.584,402.1,41.39,6.17,3484.0,49.1,16.7,3517.0,67.0,92.3,0.047,0.055,LATHE,none,healthy,0,0.0,2026-04-09 02:18:40
56.44,2.107,401.9,44.78,6.7,3545.0,49.5,17.78,6701.0,160.0,89.4,1.665,0.117,LATHE,none,healthy,0,0.0,2026-04-09 02:20:37
55.39,2.016,404.9,50.0,6.32,3651.0,58.3,20.63,4277.0,275.0,90.3,0.286,0.409,LATHE,none,healthy,0,0.0,2026-04-09 02:22:50
54.07,2.236,397.0,49.65,5.69,3575.0,53.1,19.92,3782.0,66.0,92.9,1.929,0.432,LATHE,none,healthy,0,0.0,2026-04-09 02:24:04
54.69,2.274,400.9,50.0,6.69,3603.0,59.0,21.58,2486.0,429.0,91.1,1.61,0.186,LATHE,none,healthy,0,0.0,2026-04-09 02:26:20
55.05,1.986,399.6,49.19,6.38,3451.0,51.9,19.83,2326.0,302.0,93.1,1.677,0.079,LATHE,none,healthy,0,0.0,2026-04-09 02:28:54
51.99,2.072,399.0,47.26,6.02,3480.0,50.8,18.83,7773.0,487.0,89.0,2.099,0.03,LATHE,none,healthy,0,0.0,2026-04-09 02:30:16
53.26,1.981,403.7,47.52,6.15,3600.0,51.0,19.1,5279.0,260.0,95.7,0.375,0.074,LATHE,none,healthy,0,0.0,2026-04-09 02:32:02
52.98,2.121,401.5,35.89,6.42,3616.0,50.6,14.55,6198.0,14.0,90.2,1.359,0.399,LATHE,none,healthy,0,0.0,2026-04-09 02:34:25
54.77,1.905,399.4,45.48,6.32,3542.0,57.2,17.84,2836.0,451.0,94.1,1.907,0.001,LATHE,none,healthy,0,0.0,2026-04-09 02:36:58
54.79,2.082,400.1,36.85,5.99,3428.0,44.8,14.64,2402.0,330.0,94.6,2.81,0.023,LATHE,none,healthy,0,0.0,2026-04-09 02:38:07
52.07,2.095,402.6,49.56,5.75,3552.0,55.9,20.25,3295.0,242.0,94.6,0.401,0.213,LATHE,none,healthy,0,0.0,2026-04-09 02:40:29
51.96,1.928,397.4,42.74,6.01,3453.0,44.7,16.97,3939.0,439.0,93.2,1.511,0.415,LATHE,none,healthy,0,0.0,2026-04-09 02:42:38
56.41,2.219,398.8,41.96,5.97,3443.0,49.7,16.87,5963.0,42.0,89.2,0.128,0.454,LATHE,none,healthy,0,0.0,2026-04-09 02:44:00
52.74,1.812,397.1,39.45,6.19,3497.0,45.4,15.63,3673.0,310.0,92.7,3.25,0.146,LATHE,none,healthy,0,0.0,2026-04-09 02:46:58
